Date,NVDA_adj_close,NVDA_Volume,USD_GDP_Billions,Inflation,US_Interest_Rate,SP500,DXI,GoldPrice,Google_Adj_Close,AAPL_Adj_Close,MSFT_Adj_Close,INTC_Adj_Close,NVDA_adj_close_Short_MA,NVDA_adj_close_Long_MA
2009-01-02,1.997426,49712400,14430.36796,1.62,0.15,931.8,81.07,879.5,8.003003,2.743889,15.038718,9.616222,,
2009-01-05,2.034117,70573600,14428.76583,1.62,0.15,927.5,81.559998,857.8,8.170624,2.859692,15.179268,9.432753,,
2009-01-06,2.102914,65790400,14428.23178,1.62,0.15,934.7,82.599998,866.0,8.320313,2.812525,15.3568,9.723773,,
2009-01-07,1.976786,87009600,14427.69774,1.62,0.15,906.6,82.860001,841.7,8.020188,2.75175,14.43214,9.135411,,
2009-01-08,1.926334,101449600,14427.1637,1.62,0.15,909.7,82.279999,854.5,8.099391,2.802849,14.883377,9.205002,,
2009-01-09,1.818552,76135200,14426.62966,1.62,0.15,890.4,81.639999,855.0,7.847336,2.738749,14.43954,8.951941,,
2009-01-12,1.745168,64553200,14425.02753,1.62,0.15,870.3,82.470001,821.0,7.788058,2.680697,14.402551,8.724187,,
2009-01-13,1.754341,182442400,14424.49348,1.62,0.15,871.8,83.199997,820.7,7.828656,2.651972,14.66146,8.648271,,
2009-01-14,1.67637,97490800,14423.95944,1.62,0.15,842.6,84.230003,808.8,7.496153,2.580012,14.121456,8.275011,,
2009-01-15,1.735994,99820400,14423.4254,1.62,0.15,843.7,84.309998,807.3,7.446837,2.521052,14.232413,8.407868,,
2009-01-16,1.832311,83132400,14422.89135,1.62,0.15,850.1,84.379997,839.9,7.463774,2.489305,14.580086,8.692562,,
2009-01-20,1.653437,70578800,14420.75518,1.62,0.15,805.2,85.07,856.0,7.042354,2.364432,13.670218,8.135831,,
2009-01-21,1.733701,64847200,14420.22114,1.62,0.15,840.2,86.260002,850.1,7.548706,2.504422,14.335975,8.388888,,
2009-01-22,1.701596,54765600,14419.6871,1.62,0.15,827.5,85.510002,858.8,7.633886,2.671626,12.65679,8.110523,,
2009-01-23,1.768101,63361600,14419.15305,1.62,0.15,832.0,85.559998,895.8,8.087187,2.671626,12.723365,8.300315,,
2009-01-26,1.827724,58174800,14417.55092,1.62,0.15,836.6,85.510002,908.8,8.066515,2.710328,13.04145,8.464806,,
2009-01-27,1.935507,72530000,14417.01688,1.62,0.15,845.7,84.419998,899.5,8.256054,2.743284,13.063636,8.736846,,
2009-01-28,2.015772,72375200,14416.48284,1.62,0.15,874.1,84.379997,888.2,8.684199,2.848202,13.344739,8.86337,,
2009-01-29,1.898815,41312800,14415.9488,1.62,0.15,845.1,84.599998,906.5,8.550949,2.81192,13.01186,8.45848,,
2009-01-30,1.823138,50676000,14415.41475,1.62,0.15,825.9,85.510002,928.4,8.431646,2.725144,12.649389,8.161135,1.8479052,
2009-02-02,1.921748,57799200,14413.7554,1.62,0.22,825.4,86.059998,907.2,8.482456,2.766869,13.189395,8.622968,1.8441213,
2009-02-03,1.944681,39694800,14413.16414,1.62,0.22,838.5,86.139999,892.5,8.479467,2.811315,13.685015,8.686231,1.8396495000000002,
